HumanSays:,RobotSays:
HumanSays:,RobotSays:
getWELCOMEMESSAGE,"Hello! I am Ayaka, your personal movie assistant. I can help you find movies to watch, recommend movies, and even add movies to your watchlist. How can I help you today?"
IDKresponse,I don't know.
IDKresponse,I'll need to take some time to think on that.
IDKresponse,Can you try rephrasing that please?
IDKresponse,I'm not sure about that.
IDKresponse,Is there a different way you can ask that?
IDKresponse,I don't have a response for that.
IDKresponse,I will have to give that some thought.
IDKresponse,I don't really know what you are asking.
IDKresponse,There are some things I just don't know about yet.
IDKresponse,I'm not an expert on that.
IDKresponse,I could not tell you.
getGOODBYE,Goodbye!
getGOODBYE,See you later!
getGOODBYE,Sayonara!
getGOODBYE,Farewell!
getGOODBYE,Have a nice day!
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
Find me a movie about adventure,searchMOVIE
I'm looking for a comedy movie,searchMOVIE
Recommend a horror film,searchMOVIE
Find a movie for me,searchMOVIE
Looking for a thriller,searchMOVIE
Any action movies?,searchMOVIE
I want to watch something,searchMOVIE
Find a romantic movie,searchMOVIE
Any good dramas?,searchMOVIE
random,randomMOVIE
I would like to a random movie,randomMOVIE
Give me a random movie,randomMOVIE
Choose a movie for me,randomMOVIE
Select any movie,randomMOVIE
Pick a random film,randomMOVIE
Choose a movie randomly,randomMOVIE
Give me any movie,randomMOVIE
Surprise me with a movie,randomMOVIE
I'm feeling lucky,randomMOVIE
Choose something at random,randomMOVIE
I would like some recommendations for a movie,recommendMOVIE
I want a recommendation,recommendMOVIE
Can you suggest a movie?,recommendMOVIE
Any good movies to watch?,recommendMOVIE
What's a good movie?,recommendMOVIE
Suggest something to watch,recommendMOVIE
I need movie suggestions,recommendMOVIE
Can you recommend a movie for me?,recommendMOVIE
I'm in the mood for a movie,recommendMOVIE
MOVIEmenu,MOVIEmenu
I like it,addMOVIEtolist
bye,getGOODBYE
farewell,getGOODBYE
see ya,getGOODBYE
see you later,getGOODBYE
goodbye,getGOODBYE
I'm leaving,getGOODBYE
Who are you?,I am a ChatBot.
Who are you?,I am a Python powered ChatBot.
Who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hello World!
Hi,Hello World!
Greetings,Hello World!
Hey,Hello World!
What's up?,Hello World!
Who are you?,I am a Ayaka.
What is your name?,Ayaka.
"hi, how are you doing?","i'm fine. how about yourself?"
"i'm fine. how about yourself?","i'm pretty good. thanks for asking."
"how's it going?","i'm doing well. how about you?"
"i'm doing well. how about you?","never better, thanks."
"how are you doing today?","i'm doing great. what about you?"
"i'm doing great. what about you?","i'm absolutely lovely, thank you."
"isn't it a nice day?","it really is."
"it really is.","it looks like it may rain soon."
"yes, and i hope that it does.","why is that?"
"why is that?","i really love how rain clears the air."
"it's such a nice day.","yes, it is."
"yes, it is.","it looks like it may rain soon."
"it looks like it may rain soon.","yes, and i hope that it does."
"yes, and i hope that it does.","why is that?"
"why is that?","i really love how rain clears the air."
"isn't it a nice day?","yes, i think so too."
"yes, i think so too.","i think that it's going to rain."
"i think that it's going to rain.","hopefully it will."
"hopefully it will.","how come?"
"how come?","i like how clear the sky gets after it rains."
"hello, may i speak to alice please?","this is she. how's it going?"
"this is she. how's it going?","i've been trying to call you all day."
"i've been trying to call you all day.","sorry about that. i was cleaning up."
"my bad, i had chores to do.","that's all right."
"that's all right.","i'm glad you understand."
"You've seen it before? ","Yes, I saw that movie the first day it came out in theaters."
"Yes, I saw that movie the first day it came out in theaters.","Didn't you laugh through the whole movie? I did."
"Didn't you laugh through the whole movie? I did.","Me too. That movie brought tears to my eyes."
"Me too. That movie brought tears to my eyes.","Mine too."
"I have it on DVD at my house if you want to come over and watch it.","Sure, let's go."
"Which movie is your favorite to watch?","I have to say, my favorite movie is Superbad."
"I have to say, my favorite movie is Superbad.","Is that right? Why?"
"Honestly, it is one of the funniest movies I've seen in a long time.","You're right. That movie is hilarious."
"I didn't think you saw that movie.","I went to see it the day it came out."
"You're not lying, I found that movie absolutely hilarious.","I made sure to be in line to see it the first day it came out."
"I couldn't keep from laughing throughout the whole movie.","I was laughing hysterically the whole time; my stomach muscles hurt afterwards."
"That's exactly how I felt.","I got the movie when it came out on DVD, do you want to come over?"
"it was new in 2003.","so, it's pretty old now."
"i didn't want to, so i didn't.","that's sad, but have you gone to the movies recently?"
"i would love to catch a movie this weekend.","so then, why don't you just go?"
"yeah, i went. did you go?","no, i didn't feel like it."
"no, but that was a random change of subject.","it may have been random, but have you?"
"it's no problem. i was really missing you anyway.","i missed you too."
"why haven't you tried to come see me then?","i've been really busy."
"i've been really busy.","i would've come to see you sooner, but i've been busy too."
"i've been working too.","well regardless, i'm very happy that you came to see me."
"i'm really glad that you came to visit me.","i had to. i was missing you a lot."
"i had no idea.","you didn't?"
"next saturday, i'm throwing a party.","is that right?"
"i had fun talking to you.","i think we should really do something sometime."
"it was new in 2003.","so, it's pretty old now."
"i have to walk the dog.","what kind of dog do you have?"
"i hate to go outside.","me too."
"me too.","why do you hate to go outside?"
