HumanSays:,RobotSays:
HumanSays:,RobotSays:
getWELCOMEMESSAGE,"Hello! I am Ayaka, your personal movie assistant. I can help you find movies to watch, recommend movies, and even add movies to your watchlist. How can I help you today?"
IDKresponse,I don't know.
IDKresponse,I'll need to take some time to think on that.
IDKresponse,Can you try rephrasing that please?
IDKresponse,I'm not sure about that.
IDKresponse,Is there a different way you can ask that?
IDKresponse,I don't have a response for that.
IDKresponse,I will have to give that some thought.
IDKresponse,I don't really know what you are asking.
IDKresponse,There are some things I just don't know about yet.
IDKresponse,I'm not an expert on that.
IDKresponse,I could not tell you.
getGOODBYE,Goodbye!
getGOODBYE,See you later!
getGOODBYE,Sayonara!
getGOODBYE,Farewell!
getGOODBYE,Have a nice day!
